subject_id,filename,malicious,gold_std,z_no_trust,z_trust,z_no_answer,z_total_people
49251675.0,UPRailRoad.png,False,True,6,10,2,16
49251676.0,TaxInformationEmail.png,True,True,5,11,0,16
49251677.0,Paypal.png,True,True,5,12,0,17
49251678.0,Newsweek.png,False,True,14,1,0,15
49251679.0,whatsup.png,True,True,4,12,0,16
49251680.0,VirusSpyware.png,True,True,7,7,1,14
49251681.0,VenmoUber.png,False,True,12,3,0,15
49251682.0,venmo.png,False,True,14,2,0,16
49251683.0,Vanguard.png,False,True,3,11,1,14
49251684.0,USPSGmail.png,True,True,0,15,0,15
49251685.0,USPS.png,True,True,2,13,0,15
49251686.0,UPS.png,False,True,8,6,1,14
49251687.0,Twitter.png,False,True,8,6,1,14
49251688.0,Tumblr.png,True,True,1,13,2,14
49251689.0,TheWallStreetJournal.png,True,True,0,16,0,16
49251690.0,subject-303.png,False,True,10,4,1,14
49251691.0,SprintBill.png,False,True,8,8,0,16
49251692.0,Sprint.png,True,True,1,14,1,15
49251693.0,Snapchat.png,False,True,15,0,0,15
49251694.0,Messenger.png,False,True,16,0,0,16
49251695.0,IRS.png,True,True,0,16,1,16
49251696.0,gmail.png,False,True,5,10,0,15
49251697.0,Firmoo.png,False,True,8,9,3,17
49251698.0,fedex.png,True,True,0,19,1,19
49251699.0,EmmailFialure.png,False,True,8,8,3,16
49251700.0,ebay.png,True,True,3,15,1,18
49251701.0,Dropbox.png,True,True,1,18,1,19
49251702.0,Discover.png,True,True,3,15,2,18
49251703.0,craigslist.png,True,True,16,6,1,22
49251704.0,Box.png,True,True,2,16,0,18
